policy_id,inception_date,expiration_date,company_id,exposure_units,premium
1173,2016-05-01,2017-05-01,17820,37,922.18
1174,2016-01-01,2016-12-31,24870,2,338.63
1175,2016-07-01,2017-07-01,8286,43,952.24
1176,2016-07-01,2017-07-01,7152,16,1131.78
1177,2016-10-01,2017-10-01,8056,7,589.18
1178,2016-03-01,2017-03-01,10457,2,423.29
1179,2016-03-01,2017-03-01,27427,30,880.24
1180,2016-05-01,2017-05-01,16383,3,524.65
1181,2016-07-01,2017-07-01,22504,16,1131.78
1182,2016-07-01,2017-07-01,27200,6,558.35
1183,2016-07-01,2017-07-01,20615,30,880.24
1184,2016-01-01,2016-12-31,12454,102,1687.49
1185,2016-03-01,2017-03-01,7,30,1100.3
1186,2016-07-01,2017-07-01,12113,3,419.72
1187,2016-01-01,2016-12-31,20723,83,1083.77
1188,2016-07-01,2017-07-01,16230,13,712.99
1189,2016-07-01,2017-07-01,10011,17,766.64
1190,2016-07-01,2017-07-01,13806,42,947.53
1191,2016-01-01,2016-12-31,18545,17,958.3
1192,2016-01-01,2016-12-31,24239,192,1251.5
1193,2016-07-01,2017-07-01,19065,48,974.24
1194,2016-01-01,2016-12-31,14712,30,880.24
1195,2016-08-01,2017-08-01,13884,46,965.73
1196,2016-06-01,2017-06-01,11305,53,1242.57
1197,2016-01-01,2016-12-31,14911,36,916.7
1198,2016-06-01,2017-06-01,13119,30,1320.36
1199,2016-01-01,2016-12-31,4837,26,851.62
1200,2016-02-01,2017-01-31,19410,85,1360.66
1201,2016-02-01,2017-01-31,25753,6,558.35
1202,2016-05-01,2017-05-01,13877,30,880.24
1203,2016-08-01,2017-08-01,2044,82,1351.68
1204,2016-01-01,2016-12-31,15030,3,419.72
1205,2016-07-01,2017-07-01,10963,6,558.35
1206,2016-11-01,2017-11-01,6506,30,1760.48
1207,2016-10-01,2017-10-01,12230,7,589.18
1208,2016-11-01,2017-11-01,1296,3,629.58
1209,2016-07-01,2017-07-01,19972,10,1321.03
1210,2016-07-01,2017-07-01,2339,94,2217.32
1211,2016-07-01,2017-07-01,18364,38,927.52
1212,2016-01-01,2016-12-31,4055,30,880.24
1213,2016-01-01,2016-12-31,8818,30,1100.3
1214,2016-07-01,2017-07-01,2733,16,754.52
1215,2016-01-01,2016-12-31,18595,160,1215.03
1216,2016-11-01,2017-11-01,26825,5,652.36
1217,2016-07-01,2017-07-01,26679,24,835.61
1218,2016-07-01,2017-07-01,14279,106,1132.69
1219,2016-01-01,2016-12-31,15392,168,1224.79
1220,2016-01-01,2016-12-31,6098,1,400
1221,2016-12-01,2017-12-01,13327,10,660.52
1222,2016-01-01,2016-12-31,25878,2,677.26
1223,2016-04-01,2017-04-01,10634,53,994.06
1224,2016-01-01,2016-12-31,10239,158,2273.47
1225,2016-07-01,2017-07-01,27171,56,1005.07
1226,2016-01-01,2016-12-31,17097,9,639.44
1227,2016-01-01,2016-12-31,17733,30,2200.6
1228,2016-10-01,2017-10-01,17951,5,521.89
1229,2016-12-01,2017-12-01,16971,37,922.18
1230,2016-06-01,2017-06-01,8132,179,1546.85
1231,2016-10-01,2017-10-01,24629,115,2872.47
1232,2016-01-01,2016-12-31,17437,38,927.52
1233,2016-03-01,2017-03-01,6511,30,1650.45
1234,2016-03-01,2017-03-01,16391,6,558.35
1235,2016-01-01,2016-12-31,24771,26,1277.43
1236,2016-01-01,2016-12-31,17787,34,1810.54
1237,2016-01-01,2016-12-31,7911,18,972.59
1238,2016-10-01,2017-10-01,13594,144,1193.96
1239,2016-01-01,2016-12-31,20657,8,615.89
1240,2016-01-01,2016-12-31,27365,77,1068.76
1241,2016-05-01,2017-05-01,10257,30,880.24
1242,2016-01-01,2016-12-31,20344,86,1090.87
1243,2016-01-01,2016-12-31,20985,83,1354.71
1244,2016-07-01,2017-07-01,16753,154,1207.39
1245,2016-06-01,2017-06-01,25663,45,961.33
1246,2016-10-01,2017-10-01,1451,30,1100.3
1247,2016-01-01,2016-12-31,20007,56,1005.07
1248,2016-09-01,2017-09-01,20567,56,1005.07
1249,2016-01-01,2016-12-31,6911,50,982.4
1250,2016-02-01,2017-01-31,16158,22,2045.52
1251,2016-04-01,2017-04-01,24335,30,880.24
1252,2016-01-01,2016-12-31,19731,39,932.71
1253,2016-01-01,2016-12-31,3470,24,835.61
1254,2016-01-01,2016-12-31,3285,86,1363.59
1255,2016-01-01,2016-12-31,10406,6,558.35
1256,2016-01-01,2016-12-31,14278,28,1083.05
1257,2016-10-01,2017-10-01,2647,24,835.61
1258,2016-07-01,2017-07-01,21119,6,558.35
1259,2016-07-01,2017-07-01,21199,30,880.24
1260,2016-01-01,2016-12-31,15650,8,615.89
1261,2016-07-01,2017-07-01,12577,2,423.29
1262,2016-06-01,2017-06-01,24897,16,1131.78
1263,2016-07-01,2017-07-01,22810,6,558.35
1264,2016-01-01,2016-12-31,5393,48,1461.36
1265,2016-01-01,2016-12-31,19834,9,639.44
1266,2016-10-01,2017-10-01,25270,6,558.35
1267,2016-07-01,2017-07-01,766,6,1046.91
1268,2016-01-01,2016-12-31,9664,88,2054
1269,2016-07-01,2017-07-01,3343,28,866.44
1270,2016-07-01,2017-07-01,8213,14,1455.62
1271,2016-02-01,2017-01-31,1064,30,1650.45
1272,2016-06-01,2017-06-01,12473,24,835.61
1273,2016-01-01,2016-12-31,25002,21,1617.81
1274,2016-01-01,2016-12-31,21936,6,558.35
1275,2016-07-01,2017-07-01,13414,77,2003.93
1276,2016-06-01,2017-06-01,11818,30,880.24
1277,2016-05-01,2017-05-01,771,94,1385.82
1278,2016-09-01,2017-09-01,26528,56,1005.07
1279,2016-01-01,2016-12-31,21085,30,880.24
1280,2016-11-01,2017-11-01,25094,30,880.24
1281,2016-04-01,2017-04-01,1909,9,639.44
1282,2016-01-01,2016-12-31,14585,51,986.37
1283,2016-01-01,2016-12-31,11212,24,835.61
1284,2016-07-01,2017-07-01,4035,15,1112.42
1285,2016-06-01,2017-06-01,3999,113,1431.85
1286,2016-07-01,2017-07-01,11796,115,1148.99
1287,2016-01-01,2016-12-31,22355,150,1202.13
1288,2016-01-01,2016-12-31,7028,16,754.52
1289,2016-06-01,2017-06-01,2248,17,766.64
1290,2016-03-01,2017-03-01,21915,30,880.24
1291,2016-01-01,2016-12-31,8186,6,558.35
1292,2016-01-01,2016-12-31,26088,30,1650.45
1293,2016-07-01,2017-07-01,14511,46,965.73
1294,2016-04-01,2017-04-01,14377,12,1045.47
1295,2016-07-01,2017-07-01,9195,12,696.98
1296,2016-01-01,2016-12-31,11096,6,558.35
1297,2016-07-01,2017-07-01,15728,110,1140.1
1298,2016-07-01,2017-07-01,18011,23,827.1
1299,2016-01-01,2016-12-31,24628,39,932.71
1300,2016-12-01,2017-12-01,14604,122,1451.01
1301,2016-09-01,2017-09-01,26749,30,880.24
1302,2016-10-01,2017-10-01,6007,14,1364.65
1303,2016-01-01,2016-12-31,1854,5,521.89
1304,2016-01-01,2016-12-31,16682,22,1636.42
1305,2016-07-01,2017-07-01,14663,25,843.78
1306,2016-01-01,2016-12-31,2680,5,521.89
1307,2016-04-01,2017-04-01,12289,13,1425.98
1308,2016-01-01,2016-12-31,11841,30,1100.3
1309,2016-07-01,2017-07-01,21576,77,1335.95
1310,2016-03-01,2017-03-01,3313,104,1411.1
1311,2016-01-01,2016-12-31,4761,6,558.35
1312,2016-01-01,2016-12-31,22834,5,521.89
1313,2016-01-01,2016-12-31,3326,10,1238.47
1314,2016-07-01,2017-07-01,12993,30,880.24
1315,2016-05-01,2017-05-01,26030,30,880.24
1316,2016-05-01,2017-05-01,2188,96,1112.87
1317,2016-06-01,2017-06-01,24057,30,880.24
1318,2016-01-01,2016-12-31,19128,43,952.24
1319,2016-12-01,2017-12-01,19827,77,1068.76
1320,2016-02-01,2017-01-31,18838,40,937.78
1321,2016-07-01,2017-07-01,4218,192,1251.5
1322,2016-03-01,2017-03-01,7822,3,419.72
1323,2016-05-01,2017-05-01,10527,5,782.83
1324,2016-01-01,2016-12-31,25273,288,1332.59
1325,2016-01-01,2016-12-31,17662,30,1100.3
1326,2016-07-01,2017-07-01,8437,28,866.44
1327,2016-09-01,2017-09-01,20460,46,2414.32
1328,2016-07-01,2017-07-01,2002,30,1760.48
1329,2016-01-01,2016-12-31,18247,83,1354.71
1330,2016-07-01,2017-07-01,6436,20,799.15
1331,2016-07-01,2017-07-01,17880,50,982.4
1332,2016-07-01,2017-07-01,250,18,972.59
1333,2016-07-01,2017-07-01,26076,38,1855.03
1334,2016-01-01,2016-12-31,19800,13,1069.48
1335,2016-09-01,2017-09-01,7635,30,1100.3
1336,2016-07-01,2017-07-01,15572,10,660.52
1337,2016-07-01,2017-07-01,24346,30,880.24
1338,2016-01-01,2016-12-31,18338,3,419.72
1339,2016-01-01,2016-12-31,22945,22,818.21
1340,2016-07-01,2017-07-01,11511,86,1090.87
1341,2016-07-01,2017-07-01,24292,19,788.89
1342,2016-07-01,2017-07-01,21116,91,1377.71
1343,2016-01-01,2016-12-31,25242,77,1068.76
1344,2016-02-01,2017-01-31,10984,144,1492.45
1345,2016-07-01,2017-07-01,10473,1,200
1346,2016-07-01,2017-07-01,9781,42,1184.42
1347,2016-07-01,2017-07-01,3582,44,1196.05
1348,2016-07-01,2017-07-01,13477,30,880.24
1349,2016-07-01,2017-07-01,19910,6,1116.7
1350,2016-07-01,2017-07-01,387,30,880.24
1351,2016-11-01,2017-11-01,5747,30,880.24
1352,2016-01-01,2016-12-31,26427,14,727.81
1353,2016-07-01,2017-07-01,7628,17,766.64
1354,2016-01-01,2016-12-31,16444,82,1351.68
1355,2016-07-01,2017-07-01,4211,35,911.07
1356,2016-07-01,2017-07-01,17609,21,808.9
1357,2016-01-01,2016-12-31,8416,30,880.24
1358,2016-04-01,2017-04-01,22248,20,799.15
1359,2016-02-01,2017-01-31,5206,106,1415.86
1360,2016-01-01,2016-12-31,6271,110,1140.1
1361,2016-01-01,2016-12-31,23040,11,679.58
1362,2016-01-01,2016-12-31,2710,2,338.63
1363,2016-04-01,2017-04-01,12836,9,639.44
1364,2016-07-01,2017-07-01,7757,67,1040.94
1365,2016-07-01,2017-07-01,6351,13,712.99
1366,2016-01-01,2016-12-31,13923,20,1198.72
1367,2016-12-01,2017-12-01,4653,1,200
1368,2016-09-01,2017-09-01,21527,30,1760.48
1369,2016-07-01,2017-07-01,527,30,880.24
1370,2016-12-01,2017-12-01,15601,49,978.36
1371,2016-01-01,2016-12-31,3769,240,1620.16
1372,2016-07-01,2017-07-01,12197,30,1100.3
1373,2016-09-01,2017-09-01,8649,30,880.24
1374,2016-09-01,2017-09-01,956,144,1790.94
1375,2016-01-01,2016-12-31,27405,16,754.52
1376,2016-04-01,2017-04-01,20770,30,880.24
1377,2016-01-01,2016-12-31,4722,9,639.44
1378,2016-01-01,2016-12-31,15649,74,1326.02
1379,2016-06-01,2017-06-01,373,6,558.35
1380,2016-01-01,2016-12-31,4706,5,521.89
1381,2016-07-01,2017-07-01,17842,5,1043.78
1382,2016-01-01,2016-12-31,19223,8,1231.78
1383,2016-07-01,2017-07-01,11921,43,952.24
1384,2016-07-01,2017-07-01,13224,86,1363.59
1385,2016-07-01,2017-07-01,26078,22,818.21
1386,2016-07-01,2017-07-01,586,6,558.35
1387,2016-09-01,2017-09-01,25949,48,1948.48
1388,2016-07-01,2017-07-01,11374,44,956.84
1389,2016-07-01,2017-07-01,24241,6,697.94
1390,2016-04-01,2017-04-01,9309,72,1319.17
1391,2016-01-01,2016-12-31,7580,16,943.15
1392,2016-07-01,2017-07-01,13307,27,859.17
1393,2016-01-01,2016-12-31,6446,43,952.24
1394,2016-08-01,2017-08-01,10326,2,338.63
1395,2016-12-01,2017-12-01,9869,22,818.21
1396,2016-04-01,2017-04-01,6748,18,778.07
1397,2016-05-01,2017-05-01,11461,12,696.98
1398,2016-04-01,2017-04-01,18203,30,880.24
1399,2016-07-01,2017-07-01,24647,52,990.25
1400,2016-01-01,2016-12-31,19256,14,1455.62
1401,2016-07-01,2017-07-01,19903,28,866.44
1402,2016-05-01,2017-05-01,10074,29,873.46
1403,2016-11-01,2017-11-01,25408,54,1247.25
1404,2016-03-01,2017-03-01,13796,53,1242.57
1405,2016-01-01,2016-12-31,21373,22,818.21
1406,2016-01-01,2016-12-31,27661,28,866.44
1407,2016-06-01,2017-06-01,3601,24,835.61
1408,2016-01-01,2016-12-31,9103,77,1335.95
1409,2016-01-01,2016-12-31,13313,41,1178.39
1410,2016-07-01,2017-07-01,5828,33,899.3
1411,2016-07-01,2017-07-01,10186,60,1018.87
1412,2016-11-01,2017-11-01,13977,130,1466.88
1413,2016-07-01,2017-07-01,18157,1,200
1414,2016-07-01,2017-07-01,21206,69,1046.82
1415,2016-09-01,2017-09-01,12611,12,696.98
1416,2016-06-01,2017-06-01,5039,22,818.21
1417,2016-07-01,2017-07-01,19139,12,696.98
1418,2016-01-01,2016-12-31,24079,30,880.24
1419,2016-05-01,2017-05-01,18222,30,1100.3
1420,2016-05-01,2017-05-01,17684,54,997.8
1421,2016-03-01,2017-03-01,1842,26,851.62
1422,2016-07-01,2017-07-01,8836,6,558.35
1423,2016-04-01,2017-04-01,10550,186,1245.15
1424,2016-07-01,2017-07-01,14358,5,521.89
1425,2016-07-01,2017-07-01,8291,14,727.81
1426,2016-07-01,2017-07-01,20788,19,986.11
1427,2016-01-01,2016-12-31,6311,9,639.44
1428,2016-07-01,2017-07-01,16890,35,911.07
1429,2016-01-01,2016-12-31,20872,30,880.24
1430,2016-01-01,2016-12-31,18132,26,1064.52
1431,2016-09-01,2017-09-01,25015,30,880.24
1432,2016-07-01,2017-07-01,8709,30,880.24
1433,2016-12-01,2017-12-01,24605,110,1140.1
1434,2016-07-01,2017-07-01,18556,6,1116.7
1435,2016-10-01,2017-10-01,24995,12,696.98
1436,2016-08-01,2017-08-01,232,67,1301.17
1437,2016-07-01,2017-07-01,25354,2,677.26
1438,2016-07-01,2017-07-01,1108,3,419.72
1439,2016-05-01,2017-05-01,17808,11,679.58
1440,2016-04-01,2017-04-01,13930,192,1564.37
1441,2016-07-01,2017-07-01,5679,3,1049.31
1442,2016-01-01,2016-12-31,2977,16,754.52
1443,2016-07-01,2017-07-01,5897,17,766.64
1444,2016-01-01,2016-12-31,26772,198,1257.65
1445,2016-01-01,2016-12-31,4657,30,1100.3
1446,2016-01-01,2016-12-31,8912,30,1320.36
1447,2016-07-01,2017-07-01,6072,18,778.07
1448,2016-05-01,2017-05-01,13474,30,880.24
1449,2016-03-01,2017-03-01,22284,110,1140.1
1450,2016-01-01,2016-12-31,17420,182,1551
1451,2016-01-01,2016-12-31,19595,29,873.46
1452,2016-01-01,2016-12-31,240,1,200
1453,2016-07-01,2017-07-01,5006,10,1321.03
1454,2016-01-01,2016-12-31,4707,93,1106.52
1455,2016-07-01,2017-07-01,2663,18,778.07
1456,2016-10-01,2017-10-01,23719,238,1294.45
1457,2016-01-01,2016-12-31,18917,21,808.9
1458,2016-06-01,2017-06-01,20774,13,712.99
1459,2016-01-01,2016-12-31,3737,30,1100.3
1460,2016-11-01,2017-11-01,3721,1,200
1461,2016-08-01,2017-08-01,25776,45,961.33
1462,2016-01-01,2016-12-31,25157,176,1851.15
1463,2016-10-01,2017-10-01,23468,17,766.64
1464,2016-01-01,2016-12-31,13589,144,1193.96
1465,2016-10-01,2017-10-01,3334,47,1212.54
1466,2016-07-01,2017-07-01,17024,3,419.72
1467,2016-07-01,2017-07-01,2337,32,1339.72
1468,2016-04-01,2017-04-01,18727,30,880.24
1469,2016-01-01,2016-12-31,15407,122,1741.21
1470,2016-07-01,2017-07-01,14464,6,558.35
1471,2016-01-01,2016-12-31,26498,16,754.52
1472,2016-03-01,2017-03-01,14866,18,778.07
1473,2016-01-01,2016-12-31,13094,30,1100.3
1474,2016-08-01,2017-08-01,22978,38,1391.28
1475,2016-01-01,2016-12-31,230,30,880.24
1476,2016-06-01,2017-06-01,19381,26,1064.52
1477,2016-05-01,2017-05-01,11300,5,521.89
1478,2016-01-01,2016-12-31,539,53,1242.57
1479,2016-07-01,2017-07-01,12523,10,660.52
1480,2016-07-01,2017-07-01,6645,50,982.4
1481,2016-01-01,2016-12-31,19537,30,880.24
1482,2016-04-01,2017-04-01,21133,30,880.24
1483,2016-09-01,2017-09-01,10997,35,911.07
1484,2016-07-01,2017-07-01,22903,24,835.61
1485,2016-01-01,2016-12-31,9734,10,825.65
1486,2016-04-01,2017-04-01,2335,24,835.61
1487,2016-10-01,2017-10-01,13539,2,338.63
1488,2016-03-01,2017-03-01,9335,3,419.72
1489,2016-01-01,2016-12-31,15027,11,679.58
1490,2016-07-01,2017-07-01,1977,46,1207.16
1491,2016-09-01,2017-09-01,11645,19,986.11
1492,2016-07-01,2017-07-01,21804,11,849.47
1493,2016-03-01,2017-03-01,21653,26,1596.79
1494,2016-07-01,2017-07-01,11002,39,932.71
1495,2016-11-01,2017-11-01,23652,10,660.52
1496,2016-01-01,2016-12-31,5333,1,200
1497,2016-01-01,2016-12-31,3609,26,851.62
1498,2016-01-01,2016-12-31,19204,3,419.72
1499,2016-01-01,2016-12-31,14218,8,769.86
1500,2016-08-01,2017-08-01,3419,30,1760.48
1501,2016-12-01,2017-12-01,15008,22,818.21
1502,2016-12-01,2017-12-01,22886,26,851.62
1503,2016-06-01,2017-06-01,1668,12,871.23
1504,2016-12-01,2017-12-01,7294,26,1064.52
1505,2016-05-01,2017-05-01,19710,77,2137.52
1506,2016-05-01,2017-05-01,25160,43,952.24
1507,2016-07-01,2017-07-01,23683,42,947.53
1508,2016-07-01,2017-07-01,10791,62,1281.78
1509,2016-07-01,2017-07-01,171,10,660.52
1510,2016-08-01,2017-08-01,5781,13,712.99
1511,2016-01-01,2016-12-31,13849,15,927.01
1512,2016-01-01,2016-12-31,20769,144,1193.96
1513,2016-07-01,2017-07-01,14769,26,1064.52
1514,2016-01-01,2016-12-31,6053,20,1198.72
1515,2016-07-01,2017-07-01,22800,2,338.63
1516,2016-07-01,2017-07-01,18787,10,990.78
1517,2016-07-01,2017-07-01,24436,30,880.24
1518,2016-01-01,2016-12-31,23951,90,2062.43
1519,2016-07-01,2017-07-01,27148,30,880.24
1520,2016-01-01,2016-12-31,17602,16,754.52
1521,2016-01-01,2016-12-31,14675,19,1479.16
1522,2016-03-01,2017-03-01,10300,22,818.21
1523,2016-01-01,2016-12-31,20398,151,1504.32
1524,2016-07-01,2017-07-01,21412,30,880.24
1525,2016-09-01,2017-09-01,6355,72,1055.33
1526,2016-06-01,2017-06-01,14126,3,419.72
1527,2016-07-01,2017-07-01,3716,9,639.44
1528,2016-07-01,2017-07-01,8257,30,880.24
1529,2016-07-01,2017-07-01,7733,30,880.24
1530,2016-07-01,2017-07-01,18549,72,1055.33
