company_id,address,country,state,company_type,industry_code,sector_code,locations,year_founded,employees,risk_zone,revenue,cost_of_revenue,legal_involvement,internet_complaints
15,"50 Rockefeller Plaza    New York NY, 10020",USA,NY,5,5057,5,1,2017,3,5,334.86,107.92,0,1
16,"2325 East Camelback Road Suite 1100   Phoenix AZ, 85016",USA,AZ,5,0782,0,,2017,61,,5983.76,4970.79,0,2
17,"333 South Grand Avenue 28th Floor   Los Angeles CA, 90071",USA,CA,4,1515,1,5,2017,14,,3190.60,2703.95,0,2
18,"8600 Transit Road    East Amherst NY, 14051",USA,NY,4,7867,7,4,2013,,,,,0,0
19,"822 Bishop Street Post Office Box 3440   Honolulu HI, 96801",USA,HI,4,4502,4,1,2016,24,,5969.30,4946.88,1,4
20,"260 Franklin Street, Suite 700 7th Floor   Boston MA, 02110",USA,MA,4,4116,4,3,2011,101,,1854.51,2038.18,0,0
21,"Two Newton Place Suite 300 255 Washington Street  Newton MA, 02458",USA,MA,4,1178,1,3,2017,46,,1217.20,814.4,0,6
22,"5100 Tamarind Reef    Christiansted VI, 00820",USA,VI,4,2535,2,1,,,,,,0,0
23," Av. Ricardo Margain Zozaya No. 605 Piso 1   San Pedro Garza García NL, 66267",MEX,,4,5645,5,1,,16,,4474.65,3575.44,0,0
24,"16435 North Scottsdale Road Suite 320   Scottsdale AZ, 85254",USA,AZ,4,7523,7,3,,16,3,6893.84,2791.37,0,0
25,"Two Bridge Avenue Suite 322   Red Bank NJ, 07701",USA,NJ,5,4479,4,5,2017,67,1,864.73,535.6,1,1
26,"Mastenmakersweg 1    Den Helder , 1786 PB",NLD,,1,9517,9,3,2017,6,,11714.06,11772.3,0,1
27,"CityCentre Two Suite 200 818 Town & Country Boulevard  Houston TX, 77024",USA,TX,1,7635,7,2,2011,69,,15148.50,5965.97,0,1
28,"807 Las Cimas Parkway Suite 350   Austin TX, 78746",USA,TX,1,3458,3,6,1999,38,,2144.84,2298.74,1,2
29,"601 Travis Street 16th Floor   Houston TX, 77002",USA,TX,1,4116,4,5,,149,5,7587.04,5717.27,1,1
30,"901 West Wall Street 3rd Floor   Midland TX, 79702",USA,TX,1,5057,5,5,2012,29,,2413.44,1807.94,1,4
31,"East Tower Suite 300 311 Sixth Avenue SW  Calgary AB, T2P 3H2",CAN,AB,1,4287,4,1,,7,1,2472.01,1826.11,1,1
32,"Eighth Avenue Place Suite 1800 525 – 8th Avenue SW  Calgary AB, T2P 1G1",CAN,AB,1,9149,9,2,2017,9,3,2283.42,1705.73,0,0
33,"521 Wilshire Boulevard Suite 101   Oklahoma City OK, 73116",USA,OK,1,3946,3,6,2017,11,,1443.30,2191.84,1,1
34,"4975 Voyager Drive    Dallas TX, 75237",USA,TX,1,2764,2,1,,20,,15927.45,13948.61,0,1
35,"5220 Spring Valley Road Suite 615   Dallas TX, 75254",USA,TX,1,6044,6,20,,282,4,9008.89,4887.68,0,0
36,"2277 Plaza Drive Suite 500   Sugar Land TX, 77479",USA,TX,1,2764,2,2,,30,,9548.62,8898.59,0,0
37,"801 Travis Street Suite 2100   Houston TX, 77002",USA,TX,1,2760,2,2,2015,14,,4018.07,4094.97,0,6
38,"6000 Western Place Suite 465   Fort Worth TX, 76107",USA,TX,1,5645,5,1,2015,1,,6443.01,3399.51,0,1
39,"515 Hamilton Street Suite 200   Allentown PA, 18101",USA,PA,1,2535,2,2,2017,10,,3263.42,3227.1,0,5
40,"Gildo Pastor Center 7 Rue du Gabian   Monaco , 98000",MCO,,1,2174,2,1,,13,,17422.43,20509.75,0,1
41,"1201 Lake Robbins Drive    The Woodlands TX, 77380",USA,TX,1,2364,2,4,,28,,3087.41,2850.49,0,3
42,"12377 Merit Drive Suite 300   Dallas TX, 75251",USA,TX,1,0550,0,6,1999,74,,32197.95,26552.43,1,1
43,"400 North Congress Avenue Suite 130   West Palm Beach FL, 33401",USA,FL,1,5241,5,2,,5,,7976.75,3605.63,1,1
44,"1000 Corporate Drive Suite 200   Fort Lauderdale FL, 33334",USA,FL,1,9371,9,2,2013,,2,,,0,0
45,"6724 East Morgan Avenue Suite B   Evansville IN, 47715",USA,IN,1,3366,3,3,2017,,,,,0,0
46,"1021 West Hastings Street Suite 3150   Vancouver BC, V6E 0C3",CAN,BC,1,7867,7,1,2017,2,,1597.89,772.13,0,3
47,"Five Concourse Parkway Suite 2500   Atlanta GA, 30328",USA,GA,1,4932,4,1,,3,,1213.22,538.06,0,1
48,"4160 Sladeview Crescent Suite 7   Mississauga ON, L5L 0A1",CAN,ON,1,7635,7,3,2014,50,,6018.25,4527.72,0,7
49,"1540 Drew Avenue    Davis CA, 95618",USA,CA,1,7867,7,2,2015,13,,26363.39,10830.44,0,1
50,"2309 19th Street    Didsbury AB, T0M 0W0",CAN,AB,1,5085,5,1,2016,2,2,1970.74,730.4,0,1
51,"1610 Wynkoop Street Suite 400   Denver CO, 80202",USA,CO,1,3366,3,4,2017,16,,1484.06,1277.17,0,0
52,"80 Richmond Street West Suite 303   Toronto ON, M5H 2A4",CAN,ON,1,5314,5,2,2011,20,,1915.14,2187.51,0,0
53,"999 Canada Place Suite 654   Vancouver BC, V6C 3E1",CAN,BC,1,8867,8,5,2002,60,,7725.64,8707.35,0,4
54,"8307 Shaffer Parkway Suite 102   Littleton CO, 80127",USA,CO,1,4502,4,1,2016,10,,961.88,309.99,1,1
55,"297 President Street Brooklyn   New York NY, 11231",USA,NY,1,1515,1,1,2016,11,1,4309.11,3228.9,0,5
56,"7111 Syntex Drive 3rd Floor   Mississauga ON, L5N 8C3",CAN,ON,1,2760,2,1,2017,,5,,,0,1
57,"82 Richmond Street East Suite 1000   Toronto ON, M5C 1P1",CAN,ON,1,9180,9,1,,1,,10843.32,10640.62,0,0
58,"905 West Pender Street Suite 402   Vancouver BC, V6C 1L6",CAN,BC,1,9465,9,4,,30,,8211.31,7961.09,0,1
59,"Libanon Business Park 1 Hospital Street (off Cedar Avenue) Libanon  Westonaria , 1780",ZAF,,1,7104,7,1,2017,2,,5147.06,3313.29,0,2
60,"1055 Dunsmuir Street Suite 594   Vancouver BC, BC V7X 1J1",CAN,BC,1,9371,9,2,,19,1,5163.94,4645.5,1,1
61,"800 West Pender Street Suite 1020   Vancouver BC, V6C 2V6",CAN,BC,1,9465,9,6,,,5,,,0,4
62,"1055 Hastings Street West Suite 1130   Vancouver BC, V6E 2E9",CAN,BC,1,2174,2,3,2011,35,1,8421.81,9364.37,0,7
63,"595 Howe Street 10th Floor   Vancouver BC, V6C 2T5",CAN,BC,1,4479,4,1,2016,,,,,1,2
64,"580 Hornby Street Suite 510   Vancouver BC, V6C 3B6",CAN,BC,1,4932,4,3,,53,1,1561.45,1825.4,1,2
65,"8520 Allison Pointe Boulevard Ste. 223 #87928   Indianapolis IN, 46250",USA,IN,1,2070,2,1,2016,7,5,6483.19,5967.05,0,1
66,"110 Wall Street 11th Floor   New York NY, 10005",USA,NY,1,2070,2,5,,10,,18292.41,16557.22,0,0
67,"7021 Columbia Gateway Drive Suite 175   Columbia MD, 21046",USA,MD,1,9465,9,2,2017,10,,6646.10,4881.25,1,3
68,"4803 Stonecroft Boulevard    Chantilly VA, 20151",USA,VA,1,0550,0,3,2017,34,1,17624.29,14676.76,0,1
69,"45 First Avenue    Waltham MA, 02451",USA,MA,1,2280,2,1,2015,11,,1073.61,1168.27,0,3
70,"999 Vanderbilt Beach Road Suite 601   Naples FL, 34108",USA,FL,1,3946,3,1,,23,5,2230.24,1278.64,0,0
71,"29 Pitman Road    Barre VT, 05641",USA,VT,1,9517,9,1,2017,1,,2893.87,2928.45,0,4
72,"18 Queen Street    Schomberg ON, L0G 1T0",CAN,ON,1,9180,9,2,2017,8,,3123.25,3783.44,0,0
73,"633 West 5th Street 26th Floor   Los Angeles CA, 90071",USA,CA,1,7635,7,2,,45,,9663.98,4465.62,0,3
74,"601 Travis Street 16th Floor   Houston TX, 77002",USA,TX,1,8869,8,1,,18,,6088.91,5548.34,0,1
75,"421-7th Avenue SW Suite 3230   Calgary AB, T2P 4K9",CAN,AB,1,7023,7,2,,26,,18739.94,9206.04,0,0
76,"750 West Pender Street Suite 350   Vancouver BC, V6C 2T7",CAN,BC,1,5494,5,6,,42,,8146.93,5605.82,0,3
77,"8411 Sterling Street Suite 102   Irving TX, 75063",USA,TX,1,5494,5,4,,15,3,1444.67,927.32,0,1
78,"1301 McKinney Street Suite 2800   Houston TX, 77010",USA,TX,1,7887,7,2,2015,24,4,27805.28,10623.4,0,0
79,"601 Travis Street 16th Floor   Houston TX, 77002",USA,TX,1,3833,3,3,,15,,1668.51,1447.91,0,7
80,"1333 West McDermott Drive Suite 200   Allen TX, 75013",USA,TX,1,5314,5,6,2017,29,,2649.66,853.93,1,3
81,"4370 Tujunga Avenue Suite 320   Studio City CA, 91604",USA,CA,1,7635,7,3,2014,46,2,30764.86,12286.22,0,0
82,"15444 Royal Avenue    White Rock BC, V4B 1N1",CAN,BC,1,4116,4,2,2017,29,2,909.33,1192.15,1,4
83,"521 - 3rd Avenue SW Suite 1600   Calgary AB, T2P 3T3",CAN,AB,1,6044,6,5,2007,131,,55204.72,41854.68,0,0
84,"3131 East Camelback Road Suite 211   Phoenix AZ, 85016",USA,AZ,1,1515,1,3,,48,5,6022.72,4303,0,0
85,"1250 Wood Branch Park Drive Suite 400   Houston TX, 77079",USA,TX,1,4410,4,1,2016,24,2,6085.49,4707.52,1,1
86,"One Valero Way    San Antonio TX, 78249",USA,TX,1,7887,7,1,2017,13,,6664.79,2258.07,0,0
87,"Belvedere Building Ground Floor 69 Pitts Bay Road  Pembroke , HM08",BMU,,1,2070,2,2,2013,9,,9983.95,11010.19,0,1
88,"247 Freshwater Way Suite 300   Milwaukee WI, 53204",USA,WI,1,3833,3,1,2016,5,,651.64,954.81,0,1
89,"833 East Michigan Street Suite 900   Milwaukee WI, 53202",USA,WI,1,5241,5,6,2011,49,,3139.62,1267.23,0,0
90,"7669 Kimbel Street    Mississauga ON, L5S 1A7",CAN,ON,1,0550,0,3,2008,69,2,12738.12,14275.81,1,4
91,"475 North Martingale Road Suite 1050   Schaumburg IL, 60173",USA,IL,1,7023,7,1,,45,,5281.10,2604.24,0,1
92,"Fulbright Tower Suite 2300 1301 McKinney Street  Houston TX, 77010",USA,TX,1,5345,5,3,2014,22,,3769.38,2297.93,0,1
93,"330 – 5th Avenue SW Suite 2440   Calgary AB, T2P 0L4",CAN,AB,1,3458,3,4,2017,30,5,960.28,885.79,1,3
94,"7170 East McDonald Drive Suite 3   Scottsdale AZ, 85253",USA,AZ,1,7234,7,1,2014,,2,,,0,0
95,"1440 NW 1st Court    Boca Raton FL, 33432",USA,FL,1,6973,6,25,1942,208,,77652.32,46066.9,1,1
96,"2420 Meadowbrook Parkway    Duluth GA, 30096",USA,GA,1,4215,4,5,2007,216,,12264.36,10205.82,1,6
97,"19540 Jamboree Road Suite 300   Irvine CA, 92612",USA,CA,1,8568,8,3,2014,,5,,,0,3
98,"4900 North Scottsdale Road Suite 2000   Scottsdale AZ, 85251",USA,AZ,1,5494,5,5,,41,,4226.59,2311.4,0,5
99,"7721 East Trent Avenue    Spokane Valley WA, 99212",USA,WA,1,0550,0,1,2016,10,,9012.69,7626.15,1,1
100,"15354 North 83rd Way Suite 101   Scottsdale AZ, 85260",USA,AZ,1,8867,8,2,2011,23,5,7571.17,6931.9,0,0
101,"5600 Tennyson Parkway Suite 330   Plano TX, 75024",USA,TX,1,1515,1,1,2015,21,,3789.46,2329.18,0,0
102,"Xin Fengge Building Yupu Industrial Park   Shishi , 362700",CHN,,1,9180,9,1,,22,,10397.79,10767.99,0,1
103,,CHN,,1,5956,5,1,2017,1,4,1067.26,707.38,0,0
104,"185 Willis Avenue 2nd Floor Suite 4   Mineola NY, 11501",USA,NY,1,7867,7,1,2017,2,2,4623.22,2261.44,0,0
105,"One Caesars Palace Drive    Las Vegas NV, 89109",USA,NV,1,9466,9,4,2017,7,,4646.37,3846.32,0,5
106,"333 Clay Street Suite 1600   Houston TX, 77002",USA,TX,1,0550,0,1,2014,21,,4605.23,4294.02,1,1
107,"625 Liberty Avenue Suite 1700   Pittsburgh PA, 15222",USA,PA,1,7635,7,1,2014,2,3,33505.05,12877.92,0,10
108,"23, Rue Basse    Monaco , 98000",MCO,,1,5314,5,1,,6,,1978.93,733.44,1,1
109,"1620 Dickson Avenue Suite 700   Kelowna BC, V1Y 9Y2",CAN,BC,1,6226,6,15,2002,192,,13771.92,10272.08,1,5
110,"480 Fernand Poitras Street    Terrebonne QC, J6Y 1Y4",CAN,QC,1,4287,4,5,2007,,4,,,1,2
111,"1250 Rene Levesque West Suite 4310   Montreal QC, H3B 4W8",CAN,QC,1,7523,7,2,2015,,,,,0,1
112,"82 Richmond Street East Suite 200   Toronto ON, M5C 1P1",CAN,ON,1,2174,2,,,,,,,0,3
113,"885 West Georgia Street Suite 2000   Vancouver BC, V6C 3E8",CAN,BC,1,9517,9,2,,30,,1433.73,1077.24,0,3
114,"888 Dunsmuir Street Suite 888   Vancouver BC, V6C 3K4",CAN,BC,1,9517,9,1,2017,1,,1716.48,1707.35,0,1
115,"9101 West Sahara Avenue Suite 105 - 197   Las Vegas NV, 89117",USA,NV,1,4932,4,1,,62,,4694.73,3201.82,0,2
116,"82 Richmond Street East    Toronto ON, M5C 1P1",CAN,ON,1,8501,8,2,,13,2,7728.57,10462.52,1,1
117,"450-1090 Georgia Street    Vancouver BC, V6C 3V7",CAN,BC,1,8867,8,2,,12,,6560.81,7750.81,0,0
118,"5423 Monte Bre Place    West Vancouver BC, V7W 3A8",CAN,BC,1,8993,8,6,,23,,5635.15,7625.68,0,1
119,"140 Yonge Street Suite 201   Toronto ON, M5C 1X6",CAN,ON,1,5956,5,3,2011,47,2,1154.24,894.26,0,1
120,"543 Granville Street Suite 501   Vancouver BC, V6C 1X8",CAN,BC,1,7104,7,1,,37,3,24677.32,12324.43,0,0
121,"300 – 1055 West Hastings Street    Vancouver BC, V6E 2E9",CAN,BC,1,0456,0,3,,42,3,19095.60,20532.04,1,3
122,"11525 North Community House Road Suite 100   Charlotte NC, 28277",USA,NC,1,7635,7,2,,75,1,28362.74,11146.33,0,0
123,"520 Zang Street Suite D   Broomfield CO, 80021",USA,CO,1,6706,6,1,2016,19,,12152.12,7516.95,0,0
124,"1015 Twin Lakes Road    Longwood FL, 32750",USA,FL,1,7887,7,,,94,,4330.99,1454.87,0,1
125,"5760 State Highway 121 Suite 250   Plano TX, 75024",USA,TX,1,0264,0,6,2017,,5,,,1,9
126,"10555 Richmond Avenue    Houston TX, 77042",USA,TX,1,6683,6,30,,110,4,26503.39,16713.79,0,0
127,"2900 Ranch Trail    Irving TX, 75063",USA,TX,1,9180,9,4,2009,49,2,14155.23,11381.28,0,3
128,"12424 Wilshire Boulevard Suite 1030   Los Angeles CA, 90025",USA,CA,1,9142,9,3,,30,,13755.91,11115.15,0,5
129,"276 Fifth Avenue Suite 306   New York NY, 10001",USA,NY,1,2764,2,1,,14,,10278.18,8906.56,0,0
130,"125 High Street    Boston MA, 02110",USA,MA,1,7234,7,1,,58,,8471.78,3579.28,0,6
131,"200 Talcott Avenue South    Watertown MA, 02472",USA,MA,1,4410,4,3,2008,77,,5251.54,4092.55,1,1
132,"32, rue Blanche    Paris , 75009",FRA,,1,1071,1,1,,46,,2697.71,3160.82,0,0
133,"110 Spadina Avenue Unit 810   Toronto ON, M5V 2K4",CAN,ON,1,2760,2,1,2017,2,,4522.91,4654.81,0,1
134,"One AMC Way 11500 Ash Street   Leawood KS, 66211",USA,KS,1,0200,0,3,2011,58,4,8976.55,7521.42,0,5
135,"The Nordelec 1751 Rue Richardson Suite 2.300  Montreal QC, H3K 1G6",CAN,QC,1,2379,2,4,2009,60,,4556.30,5126.02,1,3
136,"550 Burrard Street Bentall 5, Suite 2300   Vancouver BC, V6C 2B5",CAN,BC,1,9517,9,3,2017,14,4,5963.56,5422.02,0,1
137,"14000 Carlson Parkway    Plymouth MN, 55441",USA,MN,1,6226,6,10,,110,3,34105.72,20050.39,0,1
138,"Penthouse 8 1060 Alberni Street   Vancouver BC, V6E 4K2",CAN,BC,1,2364,2,1,,25,,10488.18,11459.79,0,4
139,"200 Burrard Street Suite 650   Vancouver BC, V6C 3L6",CAN,BC,1,8993,8,5,2002,,,,,0,2
140,"625 Howe Street Suite 1020   Vancouver BC, V6C 2T6",CAN,BC,1,1515,1,2,2015,5,,6454.95,6919,0,1
141,"409 Granville Street Suite 1000   Vancouver BC, V6C 1T2",CAN,BC,1,3366,3,1,2017,1,,4211.97,4177.76,0,0
142,"1901 Bell Avenue Suite 4   Des Moines IA, 50315",USA,IA,1,5085,5,2,,,5,,,0,0
143,"1111 Kane Concourse Suite 518   Bay Harbor Islands FL, 33154",USA,FL,1,9149,9,3,,,,,,0,0
144,"850 West Hastings Street Suite 915   Vancouver BC, V6C 1E1",CAN,BC,1,9180,9,4,2005,55,1,3168.60,3456.37,1,3
145,"8965 Research Drive Suite 100   Irvine CA, 92618",USA,CA,1,0550,0,3,2017,18,5,10661.10,8498.76,0,0
146,"5540 Pioneer Creek Drive    Maple Plain MN, 55359",USA,MN,1,2379,2,3,2011,19,,5466.39,4803.2,0,0
147,"810 Flightline Boulevard    Deland FL, 32724",USA,FL,1,5956,5,4,2017,16,,2787.62,898.39,0,3
148,"127 Industry Boulevard    North Huntingdon PA, 15642",USA,PA,1,4750,4,1,2016,5,,1174.80,454.63,1,1
149,"Paul-Lenz Strasse 1a    Friedberg , 86316",DEU,,1,7234,7,1,2014,14,,11723.37,6427.3,0,0
150,"33175 Temecula Parkway Suite A 8019   Temecula CA, 92592",USA,CA,1,5956,5,6,2005,69,4,858.31,583.23,0,1
151,"405 Lexington Avenue 26th Floor   New York NY, 10174",USA,NY,1,6706,6,20,1957,112,2,23209.16,14273.21,1,3
152,"Two Lakeside Commons 980 Hammond Drive NE Suite 500  Atlanta GA, 30328",USA,GA,1,5345,5,2,2013,18,,4235.48,2395.64,0,1
153,"2620 Financial Court Suite 100   San Diego CA, 92117",USA,CA,1,7867,7,1,,2,,13325.23,5674.35,0,1
154,"590 Madison Avenue Suite 1800   New York NY, 10022",USA,NY,1,5241,5,1,2015,6,,1734.31,868.24,0,0
155,"11650 South State Street Suite 240   Draper UT, 84020",USA,UT,1,2760,2,5,,21,,3666.13,2597.74,0,0
156,"4700 South 19th Street    Lincoln NE, 68512",USA,NE,1,9517,9,1,2017,1,,5758.72,4896.99,0,0
157,"15 Koch Road Suite K   Corte Madera CA, 94925",USA,CA,1,4502,4,4,2009,98,,5937.68,4340.21,0,3
158,"1450 South Blackhawk Boulevard    Mount Pleasant UT, 84647",USA,UT,1,5494,5,1,,8,,1162.54,374.66,0,3
159,"120 Columbia Street    Vancouver BC, V6A 3Z8",CAN,BC,1,2280,2,1,,,3,,,0,0
160,"1169 Mount Seymour Road Suite 106   North Vancouver BC, V7H 2Y4",CAN,BC,1,0456,0,1,2017,2,5,13288.87,12453.87,1,5
161,"1055 West Georgia Street Suite 1500 PO Box 11117  Vancouver BC, V6E 4N7",CAN,BC,1,6683,6,5,2017,125,,11552.45,9136.51,0,1
162,"176 St. George Street    Toronto ON, M5R 2M7",CAN,ON,1,5494,5,1,,12,,2951.67,1141.51,0,3
163,"19200 Von Karman 6th Floor   Irvine CA, 92612",USA,CA,1,3833,3,3,2014,10,1,4079.49,2467.41,1,1
164,,CHN,,1,5314,5,1,2016,6,2,3228.52,1801.02,0,0
165,"422 East Vermijo Avenue Suite 19   Colorado Springs CO, 80903",USA,CO,1,2364,2,1,2015,4,,8818.21,7740.7,0,0
166,"Tivoli Village Suite 390 410 South Rampart Boulevard  Las Vegas NV, 89145",USA,NV,1,4410,4,1,2015,24,,3695.87,3258.85,0,2
167,"475 Fentress Boulevard Unit L   Daytona Beach FL, 32114",USA,FL,1,6706,6,2,2013,61,2,5897.88,2887.14,1,1
168,"109 East 17th Street Suite 80   Cheyenne WY, 82001",USA,WY,1,8275,8,5,2012,39,2,9584.04,8600.05,0,1
169,"1646 West Pioneer Boulevard Suite 120   Mesquite NV, 89027",USA,NV,1,6683,6,5,,131,1,20093.69,11869.7,0,0
170,"107 Spring Street    Seattle WA, 98104",USA,WA,1,6706,6,2,2015,70,3,68610.26,41063.06,0,1
171,"11045 Roselle Street    San Diego CA, 92121",USA,CA,1,2760,2,5,2017,10,,1651.38,1370.14,0,2
172,"1414 Harbour Way South Suite 1201   Richmond CA, 94804",USA,CA,1,9371,9,4,2013,,,,,0,2
173,"65 Clyde Road Suite A   Somerset NJ, 08873",USA,NJ,1,0782,0,3,2017,43,,5301.40,5566.66,1,3
174,"4333 Amon Carter Boulevard    Fort Worth TX, 76155",USA,TX,1,3458,3,1,2017,4,,2445.76,1641.13,0,3
175,"3101 South Packerland Drive    Green Bay WI, 54313",USA,WI,1,3458,3,4,2005,28,5,6974.36,5474.48,0,2
176,"1900 Main Street Suite 300   Irvine CA, 92614",USA,CA,1,0782,0,9,2017,125,1,7606.83,5839.91,1,4
177,"2050 Scotia Street Suite 105   Vancouver BC, V5T 4T1",CAN,BC,1,3458,3,1,2016,6,,4801.06,3669.33,1,1
178,"8390 East Crescent Parkway Suite 650   Greenwood Village CO, 80111",USA,CO,1,7104,7,1,2015,14,,5826.06,2509.06,1,1
179,"3923 West 6th Street Suite 312   Los Angeles CA, 90020",USA,CA,1,1071,1,2,2011,38,4,5950.86,3726.49,1,1
180,"726 Saint-Joseph Street    Valcourt QC, J0E 2L0",CAN,QC,1,0200,0,3,2017,35,4,5296.12,5900.78,1,2
181,"2387 South Hacienda Boulevard    Hacienda Heights CA, 91745",USA,CA,1,6683,6,5,2007,186,1,13887.49,8825.91,0,0
182,"7930 Jones Branch Drive Suite 1100   McLean VA, 22102",USA,VA,1,1071,1,1,,26,5,12700.76,9108.88,0,1
183,"Aramark Tower 1101 Market Street   Philadelphia PA, 19107",USA,PA,1,8867,8,2,2011,30,,20476.88,19454.82,0,0
184,"3990 Freedom Circle    Santa Clara CA, 95054",USA,CA,1,6973,6,20,1997,,,,,0,0
185,"515 North State Street    Chicago IL, 60654",USA,IL,1,9180,9,3,,,,,,1,1
186,"Sir Matt Busby Way Old Trafford   Manchester , M16 0RA",GBR,,1,5241,5,1,2017,1,,2435.39,1257.81,0,0
187,"8515 Georgia Avenue Suite 650   Silver Spring MD, 20910",USA,MD,1,1178,1,1,2017,,,,,0,2
188,"2360 Corporate Circle Suite 400   Henderson NV, 89074",USA,NV,1,2307,2,2,2011,,,,,0,0
189,"8605 Santa Monica Boulevard Suite 98258   West Hollywood CA, 90069",USA,CA,1,2307,2,1,2015,7,,6367.85,5939.32,0,0
190,"135 Goshen Road Suite 205   Rincon GA, 31326",USA,GA,1,1515,1,3,2008,77,,8733.41,6414.83,0,2
191,"3208 Chiquita Boulevard South Suite 216   Cape Coral FL, 33914",USA,FL,1,2989,2,2,2013,21,,2781.29,2335.04,0,0
192,"5001 Baum Boulevard Suite 770   Pittsburgh PA, 15213",USA,PA,1,9142,9,1,2017,6,,2146.00,1797.52,0,0
193,"6200 South Syracuse Way Suite 200   Greenwood Village CO, 80111",USA,CO,1,0456,0,3,2011,43,4,4280.52,4006.02,1,3
194,"13034 Ballantyne Corporate Place    Charlotte NC, 28277",USA,NC,1,3458,3,1,,16,2,1049.38,671.74,0,0
195,"66 Ford Road Suite 230   Denville NJ, 07834",USA,NJ,1,4116,4,1,2014,,5,,,1,1
196,"Paasheuvelweg 25a    Amsterdam , 1105 BP",NLD,,1,8568,8,1,2015,9,,6793.94,7331.35,0,2
197,"6000 Shoreline Court Suite 300   South San Francisco CA, 94080",USA,CA,1,9466,9,1,2015,6,,9005.27,7494.77,0,2
198,"177-181 avenue Pierre Brossolette    Montrouge , 92120",FRA,,1,8867,8,1,,2,,16847.64,20524.8,0,7
199,"One Penn Plaza 35th Floor Suite 3520  New York NY, 10119",USA,NY,1,9465,9,1,2016,1,,4036.92,3225.84,1,4
200,"205 East 42nd Street 17th Floor   New York NY, 10017",USA,NY,1,0550,0,2,2011,61,2,7669.20,6337.08,1,3
201,"999 West Broadway Suite 720   Vancouver BC, V5Z 1K5",CAN,BC,1,5645,5,5,2012,42,,3777.58,3661.86,0,1
202,"3891 Ranchero Drive Suite 150   Ann Arbor MI, 48108",USA,MI,1,2174,2,4,2017,20,,13253.09,11564.12,0,4
203,"270 East Grand Avenue    South San Francisco CA, 94080",USA,CA,1,0200,0,3,2014,27,,18960.50,16235.19,1,1
204,"3535 General Atomics Court Suite 200   San Diego CA, 92121",USA,CA,1,9465,9,1,2017,2,,1567.68,1352.45,1,1
205,"275 Madison Avenue 7th Floor   New York NY, 10016",USA,NY,1,5494,5,5,2007,38,,3381.17,1668.11,1,1
206,"1555 Bayshore Highway Suite 200   Burlingame CA, 94010",USA,CA,1,5057,5,5,,,1,,,0,0
207,"10 Hudson Yards 37th floor   New York NY, 10001",USA,NY,1,5645,5,1,,,,,,0,0
208,"Bâtiment Adénine 60 Avenue Rockefeller   Lyon , 69008",FRA,,1,4287,4,1,2017,17,,1669.11,2372.63,1,1
209,"45 Rockefeller Plaza Suite 83 20th Floor  New York NY, 10111",USA,NY,1,4215,4,4,2013,67,,1979.78,2008.97,0,2
210,"1000 Marina Boulevard Suite 250   Brisbane CA, 94005",USA,CA,1,2764,2,3,2014,28,,2364.68,1921.15,0,0
211,"250 26th Street Suite 200   Santa Monica CA, 90402",USA,CA,1,0163,0,3,,6,2,19486.85,16312.11,1,5
212,"2006 Route 130 North    Burlington NJ, 08016",USA,NJ,1,9517,9,1,2016,,,,,0,0
213,"5455 East High Street Suite 111   Phoenix AZ, 85054",USA,AZ,1,7234,7,3,,82,,20022.88,8238.93,0,1
