claim_id,claim_date,policy_id,inception_date,expiration_date,company_id,claim_amount
97,2017-06-03,1810,2016-07-01,2017-07-01,8368,1475.67
98,2016-08-24,1824,2016-05-01,2017-05-01,22908,3284.17
99,2016-12-25,1835,2016-01-01,2016-12-31,5453,3170.52
100,2016-01-16,1838,2016-01-01,2016-12-31,2049,517.40
101,2017-03-07,1840,2016-08-01,2017-08-01,10049,808.92
102,2016-11-19,1847,2016-04-01,2017-04-01,6531,3382.77
103,2016-11-16,1850,2016-07-01,2017-07-01,4820,2894.40
104,2017-07-02,1852,2016-09-01,2017-09-01,13247,18005.64
105,2016-05-25,1853,2016-05-01,2017-05-01,13736,1467.71
106,2016-10-09,1859,2016-01-01,2016-12-31,16877,3951.93
107,2016-03-08,1862,2016-01-01,2016-12-31,7968,863.38
108,2017-05-02,1863,2016-07-01,2017-07-01,7633,3559.39
109,2016-09-02,1891,2016-07-01,2017-07-01,20082,1099.11
110,2016-06-29,1902,2016-01-01,2016-12-31,14146,3620.69
111,2016-10-06,1907,2016-01-01,2016-12-31,19753,10919.82
112,2016-04-24,1911,2016-01-01,2016-12-31,23945,2727.05
113,2017-02-28,1924,2016-06-01,2017-06-01,27280,2091.92
114,2017-07-02,1928,2016-10-01,2017-10-01,14312,4143.13
115,2016-03-22,1929,2016-01-01,2016-12-31,1379,1653.22
116,2016-09-14,1932,2016-07-01,2017-07-01,26763,5202.45
117,2016-05-23,1935,2016-01-01,2016-12-31,15968,2268.77
118,2016-08-08,1942,2016-03-01,2017-03-01,2012,1590.10
119,2016-07-01,1943,2016-04-01,2017-04-01,14415,4175.79
120,2016-11-04,1945,2016-07-01,2017-07-01,20494,5193.13
121,2016-09-04,1948,2016-01-01,2016-12-31,20904,919.90
122,2017-02-02,1955,2016-06-01,2017-06-01,8086,3306.92
123,2016-03-15,1962,2016-01-01,2016-12-31,5802,2828.20
124,2016-05-05,1970,2016-01-01,2016-12-31,21693,3267.79
125,2017-04-14,1976,2016-08-01,2017-08-01,18835,2134.17
126,2017-05-26,1984,2016-07-01,2017-07-01,12247,3999.96
127,2016-03-11,1987,2016-03-01,2017-03-01,24731,1820.74
128,2016-04-13,1994,2016-01-01,2016-12-31,3181,3277.76
129,2016-06-08,2002,2016-01-01,2016-12-31,16434,2755.26
130,2017-06-24,2006,2016-07-01,2017-07-01,15795,23010.33
131,2016-11-15,2007,2016-01-01,2016-12-31,8290,2521.61
132,2017-05-16,2010,2016-07-01,2017-07-01,23836,3339.11
133,2016-09-10,2013,2016-01-01,2016-12-31,497,2520.62
134,2016-07-12,2023,2016-01-01,2016-12-31,16043,2316.19
135,2016-03-26,2029,2016-01-01,2016-12-31,10147,3667.02
136,2017-06-22,2033,2016-07-01,2017-07-01,18156,5512.53
137,2016-10-31,2034,2016-01-01,2016-12-31,18473,7555.96
138,2016-07-10,2051,2016-01-01,2016-12-31,24460,2408.95
139,2016-10-27,2069,2016-01-01,2016-12-31,13764,1965.78
140,2016-10-24,2074,2016-07-01,2017-07-01,25526,3069.40
141,2016-03-24,2081,2016-02-01,2017-01-31,22287,1200.65
142,2016-12-08,2086,2016-07-01,2017-07-01,3062,1597.39
143,2016-08-12,2090,2016-01-01,2016-12-31,22372,2866.72
144,2017-04-17,2105,2016-07-01,2017-07-01,16283,1177.54
145,2016-04-13,2121,2016-01-01,2016-12-31,10294,3042.45
146,2017-05-21,2122,2016-11-01,2017-11-01,6485,2343.49
147,2017-02-04,2132,2016-07-01,2017-07-01,27575,1356.96
148,2016-01-13,2138,2016-01-01,2016-12-31,23342,2327.57
149,2016-04-28,2161,2016-02-01,2017-01-31,22624,1621.19
150,2017-10-31,2165,2016-12-01,2017-12-01,15952,1955.11
151,2016-08-08,2166,2016-08-01,2017-08-01,8211,1821.11
152,2016-09-13,2168,2016-07-01,2017-07-01,12151,7629.81
153,2016-09-15,2178,2016-07-01,2017-07-01,5134,1846.76
154,2016-06-16,2195,2016-01-01,2016-12-31,24341,4416.66
155,2016-09-03,2196,2016-07-01,2017-07-01,13334,1926.89
156,2017-04-29,2204,2016-12-01,2017-12-01,5067,4548.84
157,2017-06-25,2221,2016-09-01,2017-09-01,20341,1710.39
158,2016-09-13,2223,2016-01-01,2016-12-31,18569,5715.56
159,2016-10-17,2234,2016-07-01,2017-07-01,5020,4230.93
160,2016-11-05,2240,2016-02-01,2017-01-31,20966,3486.13
161,2016-12-27,2258,2016-01-01,2016-12-31,27685,4625.77
162,2016-12-08,2260,2016-05-01,2017-05-01,4424,2239.17
163,2016-02-25,2266,2016-01-01,2016-12-31,14237,3810.01
164,2017-02-09,2270,2016-03-01,2017-03-01,467,2530.00
165,2016-07-25,2273,2016-01-01,2016-12-31,14105,2610.91
166,2016-07-18,2285,2016-07-01,2017-07-01,2713,7301.35
167,2017-03-01,2286,2016-08-01,2017-08-01,8169,2461.10
168,2016-12-12,2296,2016-01-01,2016-12-31,18626,2370.16
169,2016-08-24,2298,2016-07-01,2017-07-01,9816,2650.88
170,2016-04-23,2300,2016-01-01,2016-12-31,2009,7866.80
171,2016-11-27,2311,2016-09-01,2017-09-01,2242,4014.47
172,2016-12-05,2315,2016-01-01,2016-12-31,14044,481.63
173,2017-10-26,2317,2016-12-01,2017-12-01,3434,2154.99
174,2017-04-09,2333,2016-12-01,2017-12-01,17146,3677.66
175,2016-07-01,2346,2016-06-01,2017-06-01,11150,2043.07
176,2016-04-17,2355,2016-01-01,2016-12-31,16792,7966.79
177,2016-10-24,2361,2016-07-01,2017-07-01,3347,1853.25
178,2016-10-26,2376,2016-02-01,2017-01-31,21631,1294.38
179,2016-11-27,2381,2016-01-01,2016-12-31,4945,2169.57
180,2017-01-22,2382,2016-07-01,2017-07-01,659,1812.03
181,2017-02-12,2384,2016-10-01,2017-10-01,5817,2411.44
182,2016-03-27,2391,2016-02-01,2017-01-31,233,1545.22
183,2016-06-06,2398,2016-01-01,2016-12-31,18453,2568.88
184,2016-08-25,2399,2016-05-01,2017-05-01,3242,2061.98
185,2016-02-13,2402,2016-01-01,2016-12-31,5927,3746.68
186,2016-07-08,2403,2016-01-01,2016-12-31,2447,3670.91
187,2017-01-22,2413,2016-04-01,2017-04-01,13135,2046.69
188,2016-05-07,2420,2016-01-01,2016-12-31,17766,4038.15
189,2016-04-15,2421,2016-01-01,2016-12-31,5602,1044.12
190,2016-05-28,2439,2016-01-01,2016-12-31,20293,3266.95
191,2017-09-28,2440,2016-12-01,2017-12-01,26392,3190.30
192,2016-11-30,2445,2016-07-01,2017-07-01,18067,2266.34
193,2016-12-18,2450,2016-07-01,2017-07-01,19529,3694.08
194,2017-03-15,2463,2016-06-01,2017-06-01,15885,4429.26
195,2016-09-29,2469,2016-01-01,2016-12-31,12029,1510.86
196,2016-11-22,2473,2016-03-01,2017-03-01,8635,1194.89
197,2017-07-31,2477,2016-08-01,2017-08-01,3697,3434.29
198,2016-08-25,2487,2016-08-01,2017-08-01,24281,5594.78
199,2016-05-05,2488,2016-01-01,2016-12-31,11105,3858.68
200,2016-07-06,2490,2016-07-01,2017-07-01,6608,20395.91
201,2017-07-23,2494,2016-10-01,2017-10-01,15310,1251.58
202,2016-06-01,2495,2016-04-01,2017-04-01,1493,3005.38
203,2017-01-05,2497,2016-10-01,2017-10-01,2994,3109.67
204,2016-03-07,2515,2016-01-01,2016-12-31,23984,10275.00
205,2017-07-04,2516,2016-08-01,2017-08-01,3806,2677.25
206,2016-08-27,2518,2016-01-01,2016-12-31,11798,837.70
207,2016-08-14,2521,2016-07-01,2017-07-01,26882,1697.25
208,2016-06-08,2529,2016-01-01,2016-12-31,5048,2271.39
209,2017-05-16,2530,2016-07-01,2017-07-01,16604,2443.41
210,2016-01-19,2543,2016-01-01,2016-12-31,5976,4089.04
211,2017-05-19,2548,2016-07-01,2017-07-01,6541,6487.45
212,2016-09-01,2559,2016-03-01,2017-03-01,556,5469.96
213,2016-10-10,2568,2016-07-01,2017-07-01,7311,2422.86
214,2016-12-16,2571,2016-07-01,2017-07-01,10969,2911.67
215,2016-02-09,2590,2016-01-01,2016-12-31,24044,5170.34
216,2016-05-03,2607,2016-01-01,2016-12-31,14104,3675.32
217,2016-11-14,2615,2016-01-01,2016-12-31,13401,1805.70
218,2016-07-28,2616,2016-01-01,2016-12-31,4302,3480.98
219,2017-10-02,2621,2016-11-01,2017-11-01,5159,2794.07
220,2017-06-15,2662,2016-12-01,2017-12-01,19138,8056.76
221,2017-01-16,2663,2016-07-01,2017-07-01,15346,3313.44
222,2016-08-13,2674,2016-07-01,2017-07-01,10284,3809.68
223,2016-02-15,2683,2016-01-01,2016-12-31,6757,4562.03
224,2017-07-29,2685,2016-09-01,2017-09-01,25728,951.70
225,2016-11-21,2688,2016-08-01,2017-08-01,12603,6533.30
226,2017-03-10,2693,2016-07-01,2017-07-01,5597,1956.75
227,2016-09-23,2695,2016-01-01,2016-12-31,8340,1619.81
228,2017-03-29,2696,2016-12-01,2017-12-01,17907,384.56
229,2016-04-22,2702,2016-01-01,2016-12-31,20081,2247.86
230,2017-04-28,2704,2016-12-01,2017-12-01,7036,4976.48
231,2016-10-18,2705,2016-07-01,2017-07-01,7379,2220.91
232,2016-07-10,2711,2016-07-01,2017-07-01,8329,2960.09
233,2016-12-09,2715,2016-07-01,2017-07-01,24166,754.69
234,2016-04-02,2725,2016-01-01,2016-12-31,17480,2696.64
235,2016-01-28,2730,2016-01-01,2016-12-31,24199,5918.10
236,2016-08-12,2742,2016-08-01,2017-08-01,22749,1727.43
237,2016-08-02,2746,2016-01-01,2016-12-31,9789,3473.72
238,2016-01-25,2752,2016-01-01,2016-12-31,4716,3261.63
239,2016-11-23,2757,2016-11-01,2017-11-01,5192,3675.62
240,2016-12-12,2763,2016-07-01,2017-07-01,3617,1475.35
241,2017-02-01,2765,2016-07-01,2017-07-01,12775,1537.97
242,2016-05-07,2773,2016-02-01,2017-01-31,9341,1434.50
243,2017-09-06,2782,2016-11-01,2017-11-01,8712,2904.19
244,2017-06-20,2784,2016-10-01,2017-10-01,23248,3234.48
245,2016-10-31,2791,2016-04-01,2017-04-01,25004,2689.71
246,2016-09-03,2800,2016-01-01,2016-12-31,22254,924.01
247,2016-09-19,2806,2016-01-01,2016-12-31,25534,1103.07
248,2016-11-03,2808,2016-01-01,2016-12-31,11392,2657.65
249,2017-08-27,2832,2016-09-01,2017-09-01,11027,3686.39
250,2017-02-03,2833,2016-07-01,2017-07-01,9175,1262.65
251,2016-12-07,2834,2016-07-01,2017-07-01,5246,502.36
252,2016-08-04,2837,2016-01-01,2016-12-31,4739,2696.54
253,2017-04-10,2849,2016-07-01,2017-07-01,4463,2055.51
254,2016-04-17,2861,2016-01-01,2016-12-31,24775,1667.68
255,2017-04-14,2876,2016-09-01,2017-09-01,21017,1754.44
256,2016-03-14,2878,2016-03-01,2017-03-01,26302,2099.58
257,2017-11-20,2897,2016-12-01,2017-12-01,4931,15642.01
258,2017-03-01,2904,2016-04-01,2017-04-01,9949,3036.69
259,2017-01-30,2914,2016-09-01,2017-09-01,25750,4532.18
260,2016-11-12,2937,2016-11-01,2017-11-01,15117,879.77
261,2016-12-06,2946,2016-01-01,2016-12-31,929,3041.47
262,2017-02-12,2959,2016-03-01,2017-03-01,8131,3353.00
263,2017-02-27,2960,2016-04-01,2017-04-01,2684,4035.80
264,2017-03-20,2961,2016-04-01,2017-04-01,3955,4601.59
265,2017-04-12,2970,2016-11-01,2017-11-01,8361,2059.14
266,2016-07-22,2978,2016-01-01,2016-12-31,5306,4053.61
267,2016-09-13,2986,2016-05-01,2017-05-01,25496,4845.66
268,2017-04-08,3000,2016-05-01,2017-05-01,9460,1116.10
269,2016-11-22,3008,2016-07-01,2017-07-01,12357,3147.17
270,2016-12-30,3010,2016-07-01,2017-07-01,22672,6586.53
271,2016-06-16,3014,2016-03-01,2017-03-01,21709,4120.69
272,2016-01-10,3017,2016-01-01,2016-12-31,25490,5268.33
273,2016-12-03,3039,2016-07-01,2017-07-01,17034,1417.87
274,2017-04-16,3044,2016-09-01,2017-09-01,2022,2716.84
275,2016-01-04,3047,2016-01-01,2016-12-31,11252,5108.98
276,2016-01-02,3055,2016-01-01,2016-12-31,15153,3249.33
277,2016-11-24,3062,2016-06-01,2017-06-01,21880,2087.58
278,2016-08-24,3093,2016-07-01,2017-07-01,20515,4401.98
279,2016-07-06,3104,2016-07-01,2017-07-01,3893,1203.13
280,2016-08-08,3116,2016-07-01,2017-07-01,7300,5537.66
281,2016-03-13,3118,2016-01-01,2016-12-31,13954,4028.16
282,2016-03-03,3119,2016-02-01,2017-01-31,4898,4039.56
283,2016-10-24,3128,2016-01-01,2016-12-31,8843,2698.79
284,2016-07-07,3131,2016-03-01,2017-03-01,7348,1046.27
285,2017-05-11,3160,2016-11-01,2017-11-01,18378,1996.53
286,2016-10-02,3162,2016-07-01,2017-07-01,14393,3524.84
287,2016-09-14,3164,2016-02-01,2017-01-31,1881,5529.54
288,2017-01-04,3168,2016-11-01,2017-11-01,21082,2592.87
289,2016-11-10,3174,2016-07-01,2017-07-01,27552,1611.54
290,2016-11-18,3182,2016-02-01,2017-01-31,4747,5289.45
291,2016-10-31,3212,2016-06-01,2017-06-01,2613,1413.55
292,2016-02-14,3215,2016-01-01,2016-12-31,7605,1411.89
293,2017-01-05,3219,2016-08-01,2017-08-01,470,2035.67
294,2016-08-02,3220,2016-07-01,2017-07-01,3618,1818.80
295,2016-01-23,3226,2016-01-01,2016-12-31,26215,3251.27
296,2016-06-26,3231,2016-01-01,2016-12-31,21667,4631.44
297,2016-07-03,3239,2016-01-01,2016-12-31,21351,1402.10
298,2016-10-04,3270,2016-07-01,2017-07-01,26262,669.92
299,2016-10-10,3271,2016-07-01,2017-07-01,24739,1361.83
300,2017-05-24,3287,2016-08-01,2017-08-01,1897,2409.63
301,2016-12-29,3290,2016-07-01,2017-07-01,2920,16754.84
302,2017-01-04,3292,2016-09-01,2017-09-01,10731,3207.98
303,2017-01-29,3297,2016-11-01,2017-11-01,835,1490.96
304,2016-10-22,3319,2016-01-01,2016-12-31,26025,2419.09
305,2016-11-15,3321,2016-11-01,2017-11-01,11500,1539.81
306,2017-01-17,3325,2016-07-01,2017-07-01,3887,1483.68
307,2016-02-10,3330,2016-01-01,2016-12-31,19212,2199.15
308,2017-07-05,3342,2016-11-01,2017-11-01,27139,2338.15
309,2016-08-08,3354,2016-07-01,2017-07-01,9714,2275.41
310,2016-01-26,3357,2016-01-01,2016-12-31,3586,4816.31
311,2016-07-09,3363,2016-04-01,2017-04-01,6673,2155.22
312,2016-11-27,3372,2016-07-01,2017-07-01,16701,1607.05
313,2016-03-03,3373,2016-01-01,2016-12-31,25007,2925.13
314,2016-11-03,3383,2016-10-01,2017-10-01,26506,1680.12
315,2017-04-14,3385,2016-10-01,2017-10-01,3179,3039.45
316,2016-11-17,3389,2016-05-01,2017-05-01,17654,953.36
317,2017-05-09,3391,2016-07-01,2017-07-01,1577,1631.45
318,2016-05-06,3403,2016-01-01,2016-12-31,8063,2845.20
319,2016-12-05,3406,2016-12-01,2017-12-01,23815,1794.31
320,2016-12-07,3422,2016-01-01,2016-12-31,5514,799.62
321,2016-04-01,3426,2016-01-01,2016-12-31,980,3427.13
322,2016-04-10,3433,2016-01-01,2016-12-31,13833,4019.75
323,2016-11-24,3446,2016-04-01,2017-04-01,21353,2362.25
324,2016-07-19,3468,2016-01-01,2016-12-31,1145,5058.53
325,2016-04-06,3477,2016-01-01,2016-12-31,9645,10700.04
326,2016-08-22,3492,2016-01-01,2016-12-31,18972,987.76
327,2016-11-30,3495,2016-07-01,2017-07-01,12013,4394.38
328,2016-10-15,3496,2016-03-01,2017-03-01,1999,2323.70
329,2016-12-21,3502,2016-07-01,2017-07-01,23180,4210.54
330,2017-01-24,3504,2016-07-01,2017-07-01,12466,2665.71
331,2017-05-18,3505,2016-08-01,2017-08-01,21498,1074.69
332,2016-12-21,3506,2016-07-01,2017-07-01,26111,2453.07
333,2017-04-09,3511,2016-07-01,2017-07-01,2558,1872.93
334,2016-07-09,3514,2016-07-01,2017-07-01,12887,1306.35
335,2016-02-16,3521,2016-01-01,2016-12-31,15034,1969.51
336,2016-05-08,3522,2016-01-01,2016-12-31,15597,1818.31
337,2016-02-21,3528,2016-01-01,2016-12-31,1735,2449.97
338,2017-09-02,3550,2016-11-01,2017-11-01,5373,4132.11
339,2016-12-11,3554,2016-07-01,2017-07-01,1757,5148.70
340,2016-11-12,3561,2016-07-01,2017-07-01,9299,4012.53
341,2016-11-08,3566,2016-01-01,2016-12-31,15151,2477.85
342,2016-04-12,3572,2016-01-01,2016-12-31,23855,6666.31
343,2016-04-28,3574,2016-01-01,2016-12-31,917,1975.75
344,2016-01-15,3580,2016-01-01,2016-12-31,1870,4464.40
345,2016-03-18,3586,2016-01-01,2016-12-31,5255,1765.38
346,2016-01-10,3593,2016-01-01,2016-12-31,26303,1689.05
347,2016-06-06,3602,2016-01-01,2016-12-31,15069,2499.79
348,2016-10-11,3604,2016-01-01,2016-12-31,14552,3569.49
349,2016-06-26,3613,2016-01-01,2016-12-31,17202,1227.91
350,2016-07-03,3614,2016-07-01,2017-07-01,6982,3106.87
351,2016-12-18,3617,2016-01-01,2016-12-31,24440,1576.11
352,2016-04-05,3621,2016-03-01,2017-03-01,5844,5490.11
353,2016-12-12,3622,2016-10-01,2017-10-01,6227,5975.23
354,2016-03-25,3634,2016-01-01,2016-12-31,12626,1501.66
355,2017-01-03,3644,2016-07-01,2017-07-01,7654,1999.39
356,2016-11-23,3646,2016-01-01,2016-12-31,9927,2607.90
357,2016-09-07,3657,2016-06-01,2017-06-01,24946,5624.66
358,2017-01-13,3662,2016-07-01,2017-07-01,19550,8229.57
359,2017-02-01,3663,2016-06-01,2017-06-01,18915,1304.56
360,2016-06-06,3666,2016-01-01,2016-12-31,6175,5849.82
361,2016-07-08,3681,2016-01-01,2016-12-31,3045,8123.69
362,2016-10-14,3685,2016-01-01,2016-12-31,23386,1738.16
363,2016-08-01,3687,2016-01-01,2016-12-31,8316,1835.91
364,2016-06-09,3692,2016-01-01,2016-12-31,10368,2203.86
365,2016-08-01,3693,2016-01-01,2016-12-31,7151,7443.15
366,2016-09-03,3699,2016-01-01,2016-12-31,7238,1028.89
367,2016-08-04,3718,2016-07-01,2017-07-01,877,2292.41
368,2017-03-31,3726,2016-08-01,2017-08-01,13510,2931.97
369,2017-01-05,3737,2016-04-01,2017-04-01,5618,1956.65
370,2016-06-09,3738,2016-01-01,2016-12-31,3380,4226.95
371,2017-03-05,3747,2016-09-01,2017-09-01,13995,4180.06
372,2016-08-07,3754,2016-03-01,2017-03-01,25799,1683.92
373,2016-05-27,3766,2016-03-01,2017-03-01,23603,2475.43
374,2016-03-02,3768,2016-01-01,2016-12-31,8569,1299.57
375,2016-10-22,3770,2016-02-01,2017-01-31,9565,3755.41
376,2017-08-22,3817,2016-10-01,2017-10-01,9307,2152.03
377,2016-08-22,3833,2016-01-01,2016-12-31,16487,10365.66
378,2016-12-11,3847,2016-01-01,2016-12-31,25162,1968.78
379,2017-04-27,3850,2016-10-01,2017-10-01,25822,1664.76
380,2016-08-04,3853,2016-01-01,2016-12-31,16632,2678.31
381,2016-12-25,3858,2016-01-01,2016-12-31,21334,1925.52
382,2017-02-26,3864,2016-07-01,2017-07-01,26905,2420.18
383,2017-01-27,3871,2016-07-01,2017-07-01,18957,8610.83
384,2016-10-04,3873,2016-09-01,2017-09-01,5799,1627.63
385,2017-05-09,3877,2016-08-01,2017-08-01,13255,1916.89
386,2016-07-16,3889,2016-01-01,2016-12-31,7319,2880.42
387,2016-05-15,3910,2016-01-01,2016-12-31,11155,6744.69
388,2017-04-06,3913,2016-07-01,2017-07-01,27445,10638.04
389,2017-10-17,3917,2016-12-01,2017-12-01,12901,4413.19
390,2016-12-08,3929,2016-01-01,2016-12-31,26648,1548.79
391,2016-08-18,3954,2016-07-01,2017-07-01,22175,1601.38
392,2016-09-20,3961,2016-07-01,2017-07-01,5267,1931.41
393,2017-03-05,3964,2016-07-01,2017-07-01,23333,10154.92
394,2016-05-31,3965,2016-04-01,2017-04-01,24004,1714.57
395,2016-02-05,3976,2016-01-01,2016-12-31,13582,2124.74
396,2016-05-04,3992,2016-01-01,2016-12-31,1949,1298.94
397,2017-03-18,3996,2016-07-01,2017-07-01,15277,2371.22
398,2016-12-09,4021,2016-07-01,2017-07-01,19930,2358.06
399,2016-08-23,4029,2016-01-01,2016-12-31,14337,1746.89
400,2016-05-06,4032,2016-01-01,2016-12-31,604,4919.39
401,2017-06-04,4057,2016-09-01,2017-09-01,6386,2799.93
402,2016-07-17,4062,2016-01-01,2016-12-31,14437,6211.60
403,2016-12-15,4070,2016-01-01,2016-12-31,14726,3421.33
404,2017-06-17,4075,2016-07-01,2017-07-01,22317,5400.09
405,2016-06-26,4082,2016-01-01,2016-12-31,26125,1269.34
406,2017-04-03,4117,2016-08-01,2017-08-01,17862,5214.97
407,2016-11-03,4139,2016-04-01,2017-04-01,10692,2640.39
408,2016-09-19,4147,2016-07-01,2017-07-01,16463,5078.51
409,2017-04-20,4151,2016-07-01,2017-07-01,24824,3296.97
410,2017-03-25,4155,2016-07-01,2017-07-01,17512,5543.94
